name,ra_deg,dec_deg,s_197
J0034-0721,8.537083333333332,-7.363694444444444,692
J0206-4028,31.504999999999995,-40.467555555555556,1289
J0437-4715,69.31666666666666,-47.25277777777778,1179
J0534+2200,83.63291666666665,22.01447222222222,6450
J0630-2834,97.70541666666665,-28.5785,1353
J0826+2637,126.71458333333332,26.622555555555557,1121
J0953+0755,148.28875,7.926833333333334,775
J1453-6413,223.3858333333333,-64.22116666666666,590
J1645-0317,251.25833333333327,-3.29925,2224
J1752-2806,268.2445833333333,-28.11041666666667,2441
J1820-0427,275.2191255870833,-4.460406616666667,946
J1825-0935,276.3773374025,-9.589781422222222,612
J1935+1616,293.9492745833333,16.277773888888888,2112
J2018+2839,304.5158333333333,28.665055555555554,561
J2219+4754,334.95041666666657,47.91497222222222,871
